Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,PPG,PPA,SHG,SHA,Hits,BS
Aleksander Barkov,FLA,C,10,2,7,9,0,0,27,0,0,3,0,0,2,2
Antoine Roussel,VAN,LW,10,2,1,3,-1,28,9,0,0,0,0,0,19,11
Jonas Brodin,MIN,D,12,2,0,2,0,4,17,2,0,0,1,0,5,22
Rickard Rakell,ANH,C,13,2,6,8,-3,0,33,0,1,2,0,0,21,17
Dougie Hamilton,CAR,D,12,2,3,5,0,4,52,0,1,0,0,0,20,11
Joel Armia,MON,RW,11,2,2,4,1,8,29,0,0,0,1,0,28,4
Jared Spurgeon,MIN,D,12,2,5,7,0,4,15,0,0,1,0,1,13,14
Mattias Ekholm,NSH,D,12,2,6,8,7,7,20,0,0,0,0,1,10,16
Jonathan Huberdeau,FLA,LW,10,2,6,8,-4,4,29,0,1,1,0,0,5,5
Ryan Johansen,NSH,C,12,2,11,13,9,14,27,0,0,4,0,0,16,7
Kevin Hayes,NYR,C,12,2,2,4,-1,4,25,0,0,0,0,0,14,3
Marcus Kruger,CHI,C,13,2,0,2,2,14,13,1,0,0,0,0,8,7
Taylor Hall,NJ,LW,9,2,10,12,-1,6,29,0,0,8,0,0,6,7
Nick Bjugstad,FLA,C,10,2,3,5,5,8,15,0,0,1,0,0,7,7
Calle Jarnkrok,NSH,C,12,2,1,3,4,0,11,0,0,0,0,0,6,4
Charlie Coyle,MIN,RW,12,2,4,6,2,8,16,0,1,0,0,0,14,9
Richard Panik,ARI,RW,9,2,1,3,2,4,21,0,0,1,0,0,9,6
Mathieu Perreault,WPG,C,13,2,1,3,1,2,21,1,0,0,0,0,17,1
Roman Josi,NSH,D,12,2,4,6,6,0,33,0,0,1,0,0,10,19
Zack Smith,OTT,C,9,2,3,5,2,9,11,0,0,0,0,0,21,8
Derek Stepan,ARI,C,11,2,4,6,5,4,30,0,0,0,1,0,5,6
Victor Hedman,TB,D,9,2,2,4,-3,6,23,0,0,1,0,0,7,16
Tyler Bozak,STL,C,10,2,2,4,-4,0,21,1,1,0,0,0,5,2
Keith Yandle,FLA,D,10,2,8,10,-1,6,32,0,1,2,0,0,7,11
Ryan Callahan,TB,RW,7,2,0,2,-2,0,12,0,0,0,0,0,11,0
Kyle Turris,NSH,C,12,2,7,9,0,4,18,1,1,1,0,0,9,4
Nicklas Backstrom,WAS,C,10,2,11,13,3,4,16,1,2,6,0,0,6,4
Michael Grabner,ARI,RW,11,2,3,5,2,2,21,0,0,0,2,2,5,7
Trevor Lewis,LA,C,11,2,0,2,-7,0,27,0,0,0,0,0,18,3
Artem Anisimov,CHI,C,13,2,6,8,2,0,16,0,0,0,0,0,1,5
Dustin Byfuglien,WPG,D,11,2,8,10,2,12,31,1,0,6,0,0,19,16
P.K. Subban,NSH,D,12,2,8,10,5,6,35,1,0,4,1,0,9,18
Max Pacioretty,VGK,LW,10,2,0,2,-4,6,26,0,0,0,0,0,22,4
Mikkel Boedker,OTT,LW,11,2,4,6,-2,2,16,0,0,1,0,0,6,5
Josh Bailey,NYI,LW,11,2,10,12,4,4,16,1,2,4,0,0,3,2
Steven Stamkos,TB,C,11,2,6,8,-2,2,31,1,1,3,0,0,16,2
Jeff Carter,LA,C,11,2,3,5,-5,4,30,0,1,1,0,0,12,5
Bobby Ryan,OTT,RW,11,2,4,6,0,4,19,0,1,2,0,0,15,5
Blake Wheeler,WPG,RW,13,2,12,14,-3,17,41,0,0,9,0,0,16,12
David Krejci,BOS,C,12,2,7,9,3,0,13,1,1,1,0,0,2,3
Matt Niskanen,WAS,D,10,2,3,5,-4,4,21,1,0,0,0,0,24,13
James Neal,CGY,RW,13,2,1,3,-3,10,33,0,0,0,0,0,13,5
Brent Seabrook,CHI,D,13,2,5,7,-1,15,30,0,1,1,0,0,14,29
Braydon Coburn,TB,D,11,2,2,4,3,10,22,0,0,0,0,0,12,12
Ryan Getzlaf,ANH,C,8,2,6,8,0,4,21,0,0,2,0,0,20,8
Jason Spezza,DAL,C,11,2,6,8,-2,4,17,0,0,3,0,0,2,4
Mikko Koivu,MIN,C,11,2,4,6,1,8,21,0,0,1,0,0,4,6
Ron Hainsey,TOR,D,12,2,3,5,8,6,13,0,0,0,0,0,16,18
Thomas Vanek,DET,LW,12,2,3,5,-8,6,13,0,2,1,0,0,11,2
Kiefer Sherwood,ANH,LW,12,2,2,4,5,4,13,0,0,0,0,0,17,5
Miro Heiskanen,DAL,D,11,2,2,4,0,4,25,2,0,0,0,0,5,9
Andrei Svechnikov,CAR,RW,12,2,2,4,-1,12,30,2,0,0,0,0,13,1
Nick Jensen,DET,D,11,2,1,3,-8,9,14,0,0,0,0,1,10,19
Dominik Simon,PIT,C,10,2,5,7,5,6,16,0,0,0,0,0,16,5
Anthony Cirelli,TB,C,11,2,0,2,-4,6,22,0,0,0,1,0,12,7
Drake Caggiula,EDM,LW,7,2,0,2,-2,6,13,0,0,0,0,0,15,2
Maxime Comtois,ANH,LW,10,2,5,7,3,7,9,1,0,0,0,0,27,3
Alex Iafallo,LA,C,11,2,5,7,-1,2,15,1,0,2,0,0,14,7
Alexandre Fortin,CHI,C,10,2,1,3,-3,0,15,1,0,0,0,0,6,4
Oskar Lindblom,PHI,LW,12,2,1,3,-5,4,19,0,0,0,0,0,12,7
Brett Howden,NYR,C,12,2,4,6,-2,4,11,0,0,1,0,0,14,9
Dennis Cholowski,DET,D,10,2,5,7,-5,4,21,0,1,4,0,0,1,16
Sam Steel,ANH,C,13,1,2,3,-3,4,17,0,0,2,0,0,5,4
Samuel Girard,COL,D,12,1,3,4,5,0,12,0,0,2,0,0,12,12
Marcus Sorensen,SJ,RW,12,1,2,3,2,4,19,0,0,0,1,1,10,5
Mikhail Vorobyov,PHI,C,7,1,1,2,0,2,5,0,0,0,0,0,2,3
David Kampf,CHI,RW,10,1,1,2,0,2,14,0,0,0,0,0,5,1
Casey Mittelstadt,BUF,C,12,1,2,3,-5,4,20,0,1,2,0,0,6,1
Michael Rasmussen,DET,C,10,1,1,2,-2,4,11,0,1,0,0,0,13,4
Martin Necas,CAR,C,7,1,1,2,0,2,6,0,0,0,0,0,3,2
Juuso Valimaki,CGY,D,12,1,0,1,-5,2,11,1,0,0,0,0,9,23
Paul LaDue,LA,D,5,1,0,1,0,12,5,0,0,0,0,0,5,1
Brandon Tanev,WPG,LW,13,1,4,5,4,15,17,0,0,0,0,0,34,16
Tyler Motte,VAN,C,12,1,1,2,-1,0,13,0,0,0,0,0,34,13
Miles Wood,NJ,LW,9,1,4,5,-2,17,22,0,0,1,0,0,12,2
Troy Stecher,VAN,D,14,1,4,5,3,4,12,0,0,0,0,0,13,9
Jesse Puljujarvi,EDM,RW,7,1,0,1,-4,6,9,0,0,0,0,0,4,4
Charlie McAvoy,BOS,D,7,1,5,6,1,10,7,0,0,0,0,0,9,14
Markus Nutivaara,CLS,D,11,1,5,6,-1,0,21,0,0,0,0,0,11,9
Tyson Jost,COL,C,11,1,1,2,-2,4,9,0,1,1,0,0,10,5
Sean Kuraly,BOS,C,12,1,1,2,0,9,21,0,0,0,0,0,20,5
Lucas Wallmark,CAR,C,12,1,0,1,0,10,20,0,0,0,0,0,14,1
Carter Rowney,ANH,C,5,1,0,1,0,2,3,0,0,0,0,0,14,1
Derek Ryan,CGY,C,12,1,1,2,0,4,7,0,0,0,0,0,2,6
Jacob MacDonald,FLA,D,2,1,0,1,1,0,1,0,0,0,0,0,1,1
